id,sigungu,jibun,apt_name,exclusive_use_area,transaction_year_month,transaction_day,transaction_real_price,floor,year_of_completion
TRAIN_0000,서울특별시 강남구 대치동,503,개포우성1,158.54,201401,7,174000,13,1983
TRAIN_0001,서울특별시 강남구 대치동,503,개포우성1,127.61,201401,9,157500,6,1983
TRAIN_0002,서울특별시 강남구 대치동,503,개포우성1,127.61,201401,19,150000,5,1983
TRAIN_0003,서울특별시 강남구 대치동,503,개포우성1,127.61,201402,10,152000,9,1983
TRAIN_0004,서울특별시 강남구 대치동,503,개포우성1,84.81,201402,10,116000,3,1983
TRAIN_0005,서울특별시 강남구 대치동,503,개포우성1,127.61,201402,11,160000,13,1983
TRAIN_0006,서울특별시 강남구 대치동,503,개포우성1,84.81,201402,12,114500,10,1983
TRAIN_0007,서울특별시 강남구 대치동,503,개포우성1,127.61,201402,21,147000,11,1983
TRAIN_0008,서울특별시 강남구 대치동,503,개포우성1,84.81,201402,27,114000,3,1983
TRAIN_0009,서울특별시 강남구 대치동,503,개포우성1,127.61,201403,2,164000,5,1983
TRAIN_0010,서울특별시 강남구 대치동,503,개포우성1,84.81,201403,24,116500,5,1983
TRAIN_0011,서울특별시 강남구 대치동,503,개포우성1,84.81,201403,29,119500,9,1983
TRAIN_0012,서울특별시 강남구 대치동,503,개포우성1,84.81,201405,2,118000,3,1983
TRAIN_0013,서울특별시 강남구 대치동,503,개포우성1,84.81,201405,13,118000,10,1983
TRAIN_0014,서울특별시 강남구 대치동,503,개포우성1,158.54,201405,17,180000,14,1983
TRAIN_0015,서울특별시 강남구 대치동,503,개포우성1,158.54,201405,29,180000,14,1983
TRAIN_0016,서울특별시 강남구 대치동,503,개포우성1,127.61,201406,18,155700,9,1983
TRAIN_0017,서울특별시 강남구 대치동,503,개포우성1,84.81,201406,23,105000,9,1983
TRAIN_0018,서울특별시 강남구 대치동,503,개포우성1,158.54,201406,23,175000,14,1983
TRAIN_0019,서울특별시 강남구 대치동,503,개포우성1,84.81,201406,30,121000,12,1983
TRAIN_0020,서울특별시 강남구 대치동,503,개포우성1,127.61,201407,2,160000,12,1983
TRAIN_0021,서울특별시 강남구 대치동,503,개포우성1,84.81,201407,15,110000,6,1983
