시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,202101,2,"91,000",11,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,202101,8,"89,900",12,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,202101,26,"40,000",15,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,48.64,202102,5,"73,000",18,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,202102,9,"90,000",8,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,202103,29,"37,200",8,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,202101,16,"149,000",4,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,202105,19,"170,000",9,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,114.96,202109,18,"235,000",4,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,202109,27,"225,000",16,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,190-3,190,3,그랜빌캐슬,90.85,202107,17,"157,000",2,2003,남부순환로379길 35,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,202102,15,"184,000",5,1992,논현로41길 10,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,202105,27,"181,300",4,1992,논현로41길 10,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.95,202109,11,"180,000",1,1992,논현로41길 10,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,172.464,202101,14,"260,000",7,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,146.754,202102,11,"222,500",25,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,146.754,202102,26,"215,000",18,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,130.545,202104,13,"230,000",34,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,172.464,202107,23,"300,000",9,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,172.464,202107,26,"275,000",3,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,69.18,202108,11,"142,000",3,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,177.255,202108,21,"303,000",4,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,130.545,202109,14,"256,000",14,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,177.255,202112,13,"335,000",30,1999,언주로30길 13,, ,중개거래,서울 강남구
