"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3220000","1984322008307500006","19840307","","02","휴업","2","휴업처리","","","","","02 5492233","","","서울특별시 강남구 압구정동 456호   ","","","(주)금강개발산업","2007-07-14 10:53:01","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202485.226490575    ","447521.520319158    ",""
"3220000","1984322016207500001","19840208","","01","영업/정상","1","정상영업","","","","","02-561-4267","11740.39","","서울특별시 강남구 대치동 511번지 한보미도맨션","서울특별시 강남구 삼성로 150 (대치동, 한보미도맨션)","06288","한보종합상가","2018-04-18 17:24:03","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205886.286776047    ","443467.611815598    ","대규모점포"
"3220000","1996322016207500001","19961115","","01","영업/정상","1","정상영업","","","","","02-550-3090","12025.9","135926","서울특별시 강남구 역삼동 755번지","서울특별시 강남구 역삼로 310 (역삼동)","135926","한솔필리아","2018-04-18 16:09:06","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204213.643236507    ","444113.028210915    ","대규모점포"
"3220000","2001322008307500001","19741110","","01","영업/정상","1","정상영업","","","","","02 5420874","3062.7","","서울특별시 강남구 신사동 510번지 11호","서울특별시 강남구 압구정로2길 46 (신사동)","135887","강남시장","2020-11-08 15:42:17","U","2020-11-10 02:40:00.0","복합쇼핑몰","201757.494098748    ","446282.45446652     ","대규모점포"
"3220000","2001322008307500002","19730801","","03","폐업","3","폐업처리","20130214","","","","02 5471151","0","","서울특별시 강남구 논현동 122번지 8호","서울특별시 강남구 학동로4길 15 (논현동)","135822","영동시장","2013-12-30 09:11:02","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202010.0103397      ","445368.131754546    ","대규모점포"
"3220000","2001322008307500003","19790117","","01","영업/정상","1","정상영업","","","","","02 5491940","0","","서울특별시 강남구 논현동 227번지 4호","서울특별시 강남구 봉은사로33길 33 (논현동)","135829","논현종합시장","2019-05-09 16:34:32","U","2019-05-11 02:40:00.0","그 밖의 대규모점포","203005.088001821    ","445311.309960952    ","대규모점포"
"3220000","2001322008307500004","19870202","","01","영업/정상","1","정상영업","","","","","02 5103114","0","","서울특별시 강남구 논현동 105번지 7호","서울특별시 강남구 언주로 726 (논현동, 두산빌딩)","135714","두산아케이드","2013-12-30 13:52:36","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","203050.783890109    ","446316.514036122    ","대규모점포"
"3220000","2001322008307500005","19790410","","02","휴업","2","휴업처리","","","","","02 5492233","","","서울특별시 강남구 압구정동 456호   ","","","금강상가","2007-07-14 10:53:01","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202485.226490575    ","447521.520319158    ",""
"3220000","2001322008307500006","19760807","","01","영업/정상","1","정상영업","","","","","02 5423516","2059","","서울특별시 강남구 압구정동 454호","서울특별시 강남구 압구정로29길 72-1 (압구정동)","135903","신사상가","2015-04-15 18:56:47","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202440.338882233    ","447782.51322707     ","대규모점포"
"3220000","2001322008307500007","1985-07-08","","01","영업/정상","1","정상영업","","","","","0234494406","10250","","서울특별시 강남구 압구정동 515호","서울특별시 강남구 압구정로 407 (압구정동, 갤러리아백화점)","135-902","갤러리아백화점(동관)","2023-03-28 11:23:26","U","2022-12-02 21:00:00.0","백화점","203604.761651873","447316.222786487",""
