시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202302,11,"172,000",10,2005,선릉로69길 20,,20230403,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202302,11,"170,000",11,2005,선릉로69길 20,,20230516,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202302,25,"175,000",10,2005,선릉로69길 20,,20230530,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202302,27,"215,000",5,2005,선릉로69길 20,,20230403,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202302,28,"169,000",18,2005,선릉로69길 20,,20230526,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202303,21,"230,000",15,2005,선릉로69길 20,,20230616,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202303,25,"173,000",6,2005,선릉로69길 20,,20230628,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202304,1,"183,000",8,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.675,202304,18,"230,000",20,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202305,2,"245,000",12,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202305,18,"188,000",9,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202305,23,"210,000",14,2005,선릉로69길 20,,20230524,직거래,-
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202305,23,"247,000",5,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202306,1,"256,000",8,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.675,202306,3,"242,000",15,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202306,7,"253,000",6,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202306,17,"194,000",10,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202306,17,"193,000",15,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,823-7,823,7,강남역우정에쉐르,16.78,202302,18,"21,000",12,2004,테헤란로10길 10,,20230310,중개거래,서울 강남구
서울특별시 강남구 역삼동,716-3,716,3,개나리SK뷰,127.27,202303,14,"352,000",20,2012,역삼로 315-1,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,716-3,716,3,개나리SK뷰,84.98,202304,9,"290,000",24,2012,역삼로 315-1,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,716-3,716,3,개나리SK뷰,127.27,202306,17,"345,000",11,2012,역삼로 315-1,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,144.55,202301,12,"280,000",17,2006,역삼로 306,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,84.93,202301,19,"210,000",9,2006,역삼로 306,,20230419,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,114.65,202302,4,"325,000",10,2006,역삼로 306,,20230421,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,84.93,202304,27,"230,000",16,2006,역삼로 306,,20230616,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,59.95,202304,28,"186,000",8,2006,역삼로 306,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,59.95,202306,6,"184,000",4,2006,역삼로 306,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,84.93,202306,10,"239,000",14,2006,역삼로 306,, ,중개거래,서울 강남구
